[2025-01-01 15:16:23] Analog Value 0: 89, Voltage 0: 0.0071875
[2025-01-01 15:17:26] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:26] Temperature: 4.38C, 39.88F

[2025-01-01 15:17:28] Analog Value 0: 11291, Voltage 0: 0.7056875
[2025-01-01 15:17:28] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:28] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:30] Analog Value 0: 11298, Voltage 0: 0.7060625
[2025-01-01 15:17:30] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:30] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:32] Analog Value 0: 11298, Voltage 0: 0.706125
[2025-01-01 15:17:32] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:32] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:34] Analog Value 0: 11304, Voltage 0: 0.7065
[2025-01-01 15:17:34] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:34] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:36] Analog Value 0: 11303, Voltage 0: 0.7064375
[2025-01-01 15:17:36] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:36] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:37] Analog Value 0: 11303, Voltage 0: 0.7065
[2025-01-01 15:17:37] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:37] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:39] Analog Value 0: 11301, Voltage 0: 0.7063125
[2025-01-01 15:17:39] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:39] Temperature: 4.38C, 39.88F

[2025-01-01 15:17:41] Analog Value 0: 11274, Voltage 0: 0.7046250000000001
[2025-01-01 15:17:41] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:41] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:43] Analog Value 0: 11269, Voltage 0: 0.704375
[2025-01-01 15:17:43] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:43] Temperature: 4.38C, 39.88F

[2025-01-01 15:17:45] Analog Value 0: 11282, Voltage 0: 0.705125
[2025-01-01 15:17:45] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:45] Temperature: 4.38C, 39.88F

[2025-01-01 15:17:47] Analog Value 0: 11299, Voltage 0: 0.7061875
[2025-01-01 15:17:47] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:47] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:49] Analog Value 0: 11313, Voltage 0: 0.7070625
[2025-01-01 15:17:49] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:49] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:50] Analog Value 0: 11320, Voltage 0: 0.7075
[2025-01-01 15:17:50] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:50] Temperature: 4.38C, 39.88F

[2025-01-01 15:17:52] Analog Value 0: 11322, Voltage 0: 0.7076250000000001
[2025-01-01 15:17:52] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:52] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:54] Analog Value 0: 11324, Voltage 0: 0.70775
[2025-01-01 15:17:54] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:54] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:56] Analog Value 0: 11325, Voltage 0: 0.7078125000000001
[2025-01-01 15:17:56] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:56] Temperature: 4.38C, 39.88F

[2025-01-01 15:17:58] Analog Value 0: 11328, Voltage 0: 0.708
[2025-01-01 15:17:58] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:58] Temperature: 4.44C, 39.99F

[2025-01-01 15:18:00] Analog Value 0: 11330, Voltage 0: 0.708125
[2025-01-01 15:18:00] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:00] Temperature: 4.44C, 39.99F

[2025-01-01 15:18:02] Analog Value 0: 11330, Voltage 0: 0.708125
[2025-01-01 15:18:02] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:02] Temperature: 4.38C, 39.88F

[2025-01-01 15:18:03] Analog Value 0: 11333, Voltage 0: 0.7083125
[2025-01-01 15:18:03] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:03] Temperature: 4.38C, 39.88F

[2025-01-01 15:18:05] Analog Value 0: 11337, Voltage 0: 0.7085625
[2025-01-01 15:18:05] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:05] Temperature: 4.44C, 39.99F

[2025-01-01 15:18:07] Analog Value 0: 11339, Voltage 0: 0.7086875
[2025-01-01 15:18:07] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:07] Temperature: 4.44C, 39.99F

[2025-01-01 15:18:09] Analog Value 0: 11341, Voltage 0: 0.7088125000000001
[2025-01-01 15:18:09] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:09] Temperature: 4.38C, 39.88F

[2025-01-01 15:18:11] Analog Value 0: 11343, Voltage 0: 0.708875
[2025-01-01 15:18:11] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:11] Temperature: 4.44C, 39.99F

[2025-01-01 15:18:13] Analog Value 0: 11342, Voltage 0: 0.708875
[2025-01-01 15:18:13] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:13] Temperature: 4.44C, 39.99F

[2025-01-01 15:18:15] Analog Value 0: 11341, Voltage 0: 0.7088125000000001
[2025-01-01 15:18:15] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:15] Temperature: 4.44C, 39.99F

[2025-01-01 15:18:16] Analog Value 0: 11300, Voltage 0: 0.70625
[2025-01-01 15:18:16] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:16] Temperature: 4.38C, 39.88F

[2025-01-01 15:18:18] Analog Value 0: 11290, Voltage 0: 0.7056250000000001
[2025-01-01 15:18:18] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:18] Temperature: 4.44C, 39.99F

[2025-01-01 15:18:20] Analog Value 0: 10682, Voltage 0: 0.6649375
[2025-01-01 15:18:20] Analog Value 1: 32187, Voltage 1: 2.0479375
[2025-01-01 15:18:20] Temperature: 4.44C, 39.99F

[2025-01-01 15:18:22] Analog Value 0: 998, Voltage 0: 0.06393750000000001
[2025-01-01 15:18:22] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:22] Temperature: 4.12C, 39.42F

[2025-01-01 15:18:24] Analog Value 0: 1075, Voltage 0: 0.06875
[2025-01-01 15:18:24] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:24] Temperature: 3.88C, 38.98F

[2025-01-01 15:18:26] Analog Value 0: 1114, Voltage 0: 0.0710625
[2025-01-01 15:18:26] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:18:26] Temperature: 3.81C, 38.86F

